DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property
018,Avon,2008,9.77,0.00,21.52,21.52,21.44
018,Avon,2009,10.65,0.00,22.79,22.79,22.71
018,Avon,2010,10.88,0.00,23.07,23.07,22.96
018,Avon,2011,12.27,0.00,25.96,25.96,25.92
018,Avon,2012,13.58,0.00,28.82,28.82,28.79
018,Avon,2013,14.65,0.00,30.42,30.42,30.39
018,Avon,2014,15.91,0.00,32.45,32.45,32.41
018,Avon,2015,16.37,0.00,32.87,32.87,32.82
018,Avon,2016,17.11,0.00,34.71,34.71,34.66
018,Avon,2017,17.28,0.00,33.82,33.82,33.77
019,Ayer,2003,9.50,0.00,21.12,21.12,21.12
019,Ayer,2004,10.04,0.00,22.90,22.90,22.90
019,Ayer,2005,9.07,0.00,22.30,22.30,22.30
019,Ayer,2006,9.39,0.00,24.54,24.54,24.54
019,Ayer,2007,9.54,0.00,24.10,24.10,24.10
019,Ayer,2008,9.84,0.00,23.85,23.85,23.85
019,Ayer,2009,10.61,0.00,24.74,24.74,24.74
019,Ayer,2010,11.49,0.00,25.54,25.54,25.54
019,Ayer,2011,12.09,0.00,26.82,26.82,26.82
019,Ayer,2012,13.10,0.00,27.20,27.20,27.20
019,Ayer,2013,13.63,0.00,27.99,27.99,27.99
019,Ayer,2014,14.08,0.00,28.55,28.55,28.55
019,Ayer,2015,14.62,0.00,29.97,29.97,29.97
019,Ayer,2016,14.53,0.00,30.92,30.92,30.92
019,Ayer,2017,14.39,0.00,30.64,30.64,30.64
020,Barnstable,2003,9.40,0.00,9.40,9.40,9.40
020,Barnstable,2004,6.61,0.00,6.61,6.61,6.61
020,Barnstable,2005,6.05,0.00,6.05,6.05,6.05
020,Barnstable,2006,6.31,0.00,6.54,6.54,6.49
020,Barnstable,2007,6.32,0.00,5.57,5.57,5.57
020,Barnstable,2008,6.58,0.00,5.80,5.80,5.80
020,Barnstable,2009,6.90,0.00,6.12,6.12,6.12
020,Barnstable,2010,7.77,0.00,6.87,6.87,6.87
020,Barnstable,2011,8.05,0.00,7.28,7.28,7.28
020,Barnstable,2012,8.42,0.00,7.59,7.59,7.59
020,Barnstable,2013,8.76,0.00,7.89,7.89,7.89
020,Barnstable,2014,9.12,0.00,8.22,8.22,8.22
020,Barnstable,2015,9.30,0.00,8.40,8.40,8.40
020,Barnstable,2016,9.31,0.00,8.41,8.41,8.41
020,Barnstable,2017,9.54,0.00,8.64,8.64,8.64
021,Barre,2003,16.42,0.00,16.42,16.42,16.42
021,Barre,2004,12.10,0.00,12.10,12.10,12.10
021,Barre,2005,11.72,0.00,11.72,11.72,11.72
021,Barre,2006,11.18,0.00,11.18,11.18,11.18
021,Barre,2007,10.30,0.00,10.30,10.30,10.30
021,Barre,2008,10.42,0.00,10.42,10.42,10.42
021,Barre,2009,10.68,0.00,10.68,10.68,10.68
021,Barre,2010,12.35,0.00,12.35,12.35,12.35
021,Barre,2011,13.53,0.00,13.53,13.53,13.53
021,Barre,2012,14.42,0.00,14.42,14.42,14.42
021,Barre,2013,15.34,0.00,15.34,15.34,15.34
021,Barre,2014,16.06,0.00,16.06,16.06,16.06
021,Barre,2015,18.64,0.00,18.64,18.64,18.64
021,Barre,2016,17.80,0.00,17.80,17.80,17.80
021,Barre,2017,18.70,0.00,18.70,18.70,18.70
022,Becket,2003,12.24,0.00,12.24,12.24,12.24
022,Becket,2004,9.92,0.00,9.92,9.92,9.92
022,Becket,2005,10.12,0.00,10.12,10.12,10.12
022,Becket,2006,9.15,0.00,9.15,9.15,9.15
022,Becket,2007,8.30,0.00,8.30,8.30,8.30
022,Becket,2008,8.11,0.00,8.11,8.11,8.11
022,Becket,2009,7.98,0.00,7.98,7.98,7.98
022,Becket,2010,7.95,0.00,7.95,7.95,7.95
022,Becket,2011,8.82,0.00,8.82,8.82,8.82
022,Becket,2012,9.51,0.00,9.51,9.51,9.51
022,Becket,2013,9.62,0.00,9.62,9.62,9.62
022,Becket,2014,10.44,0.00,10.44,10.44,10.44
022,Becket,2015,10.45,0.00,10.45,10.45,10.45
022,Becket,2016,10.46,0.00,10.46,10.46,10.46
022,Becket,2017,10.54,0.00,10.54,10.54,10.54
023,Bedford,2003,10.77,8.08,25.13,25.13,25.13
023,Bedford,2004,11.32,8.49,26.38,26.38,26.38
023,Bedford,2005,11.18,8.39,25.42,25.42,25.42
023,Bedford,2006,11.47,8.60,25.59,25.59,25.59
023,Bedford,2007,11.29,8.47,25.27,25.27,25.27
023,Bedford,2008,11.38,8.54,25.80,25.80,25.80
023,Bedford,2009,12.43,9.32,28.45,28.45,28.45
023,Bedford,2010,13.08,9.81,29.51,29.51,29.51
023,Bedford,2011,14.33,10.74,31.76,31.76,31.76
023,Bedford,2012,15.21,11.40,33.21,33.21,33.21
023,Bedford,2013,15.37,11.55,33.80,33.80,33.80
023,Bedford,2014,15.71,11.78,34.04,34.04,34.04
023,Bedford,2015,14.62,10.94,32.12,32.12,32.12
023,Bedford,2016,15.28,11.47,33.50,33.50,33.50
023,Bedford,2017,14.81,0.00,32.04,32.04,32.04
024,Belchertown,2003,17.36,17.36,17.36,17.36,17.36
024,Belchertown,2004,16.70,16.70,16.70,16.70,16.70
024,Belchertown,2005,15.11,15.11,15.11,15.11,15.11
024,Belchertown,2006,14.05,14.05,14.05,14.05,14.05
024,Belchertown,2007,13.23,13.23,13.23,13.23,13.23
024,Belchertown,2008,13.44,13.44,13.44,13.44,13.44
024,Belchertown,2009,13.96,0.00,13.96,13.96,13.96
024,Belchertown,2010,14.86,0.00,14.86,14.86,14.86
024,Belchertown,2011,15.65,0.00,15.65,15.65,15.65
024,Belchertown,2012,16.56,0.00,16.56,16.56,16.56
024,Belchertown,2013,17.11,0.00,17.11,17.11,17.11
024,Belchertown,2014,17.72,0.00,17.72,17.72,17.72
024,Belchertown,2015,17.89,0.00,17.89,17.89,17.89
024,Belchertown,2016,17.97,0.00,17.97,17.97,17.97
024,Belchertown,2017,18.20,0.00,18.20,18.20,18.20
025,Bellingham,2003,11.93,0.00,14.95,14.95,14.87
025,Bellingham,2004,10.40,0.00,14.54,14.54,14.44
025,Bellingham,2005,10.31,0.00,14.56,14.56,14.47
025,Bellingham,2006,9.79,0.00,14.05,14.05,13.97
025,Bellingham,2007,9.20,0.00,13.32,13.32,13.21
025,Bellingham,2008,9.75,0.00,15.31,15.31,15.31
025,Bellingham,2009,10.44,0.00,15.29,15.29,15.14
025,Bellingham,2010,11.96,0.00,16.79,16.79,16.61
025,Bellingham,2011,13.11,0.00,16.01,16.01,15.85
025,Bellingham,2012,14.05,0.00,16.08,16.08,15.92
025,Bellingham,2013,14.44,0.00,17.72,17.72,17.55
025,Bellingham,2014,14.66,0.00,17.91,17.91,17.78
025,Bellingham,2015,14.25,0.00,20.47,20.47,20.36
025,Bellingham,2016,14.29,0.00,20.64,20.64,20.51
025,Bellingham,2017,14.34,0.00,20.72,20.72,20.60
026,Belmont,2003,10.78,0.00,10.78,10.78,10.78
026,Belmont,2004,10.71,0.00,10.71,10.71,10.71
026,Belmont,2005,10.69,0.00,10.69,10.69,10.69
026,Belmont,2006,10.41,0.00,10.41,10.41,10.41
026,Belmont,2007,10.31,0.00,10.31,10.31,10.31
026,Belmont,2008,11.27,0.00,11.27,11.27,11.27
026,Belmont,2009,11.89,0.00,11.89,11.89,11.89
026,Belmont,2010,12.16,0.00,12.16,12.16,12.16
026,Belmont,2011,13.24,0.00,13.24,13.24,13.24
026,Belmont,2012,13.35,0.00,13.35,13.35,13.35
026,Belmont,2013,13.33,0.00,13.33,13.33,13.33
026,Belmont,2014,13.50,0.00,13.50,13.50,13.50
026,Belmont,2015,12.90,0.00,12.90,12.90,12.90
026,Belmont,2016,12.56,0.00,12.56,12.56,12.56
026,Belmont,2017,12.69,0.00,12.69,12.69,12.69
027,Berkley,2003,11.82,0.00,11.82,11.82,11.82
027,Berkley,2004,9.12,0.00,9.12,9.12,9.12
027,Berkley,2005,7.82,0.00,7.82,7.82,7.82
027,Berkley,2006,7.01,0.00,7.01,7.01,7.01
027,Berkley,2007,7.69,0.00,7.69,7.69,7.69
027,Berkley,2008,7.55,0.00,7.55,7.55,7.55
027,Berkley,2009,8.37,0.00,8.37,8.37,8.37
027,Berkley,2010,8.74,0.00,8.74,8.74,8.74
027,Berkley,2011,11.01,0.00,11.01,11.01,11.01
027,Berkley,2012,11.60,0.00,11.60,11.60,11.60
027,Berkley,2013,11.68,0.00,11.68,11.68,11.68
027,Berkley,2014,12.81,0.00,12.81,12.81,12.81
027,Berkley,2015,13.91,0.00,13.91,13.91,13.91
027,Berkley,2016,14.84,0.00,14.84,14.84,14.84
027,Berkley,2017,14.30,0.00,14.30,14.30,14.30
028,Berlin,2003,14.13,0.00,14.13,14.13,14.13
028,Berlin,2004,12.58,0.00,12.58,12.58,12.58
028,Berlin,2005,12.12,0.00,12.12,12.12,12.12
028,Berlin,2006,11.78,0.00,11.78,11.78,11.78
028,Berlin,2007,10.96,0.00,10.96,10.96,10.96
028,Berlin,2008,11.20,0.00,11.20,11.20,11.20
028,Berlin,2009,11.66,0.00,11.66,11.66,11.66
028,Berlin,2010,13.37,0.00,13.37,13.37,13.37
028,Berlin,2011,13.89,0.00,14.84,14.84,14.84
028,Berlin,2012,14.47,14.47,17.47,17.47,17.47
028,Berlin,2013,15.38,15.38,21.06,21.06,20.75
028,Berlin,2014,16.67,16.67,23.91,23.91,23.53
028,Berlin,2015,16.09,16.09,23.91,23.91,23.61
028,Berlin,2016,15.88,15.88,23.47,23.47,23.46
028,Berlin,2017,15.85,15.85,24.21,24.21,24.04
029,Bernardston,2003,18.40,0.00,18.40,18.40,18.40
029,Bernardston,2004,15.01,0.00,15.01,15.01,15.01
029,Bernardston,2005,17.20,0.00,17.20,17.20,17.20
029,Bernardston,2006,13.70,0.00,13.70,13.70,13.70
029,Bernardston,2007,13.81,0.00,13.81,13.81,13.81
029,Bernardston,2008,14.87,0.00,14.87,14.87,14.87
029,Bernardston,2009,15.00,0.00,15.00,15.00,15.00
029,Bernardston,2010,15.47,0.00,15.47,15.47,15.47
029,Bernardston,2011,15.83,0.00,15.83,15.83,15.83
029,Bernardston,2012,16.08,0.00,16.08,16.08,16.08
029,Bernardston,2013,16.85,0.00,16.85,16.85,16.85
029,Bernardston,2014,17.48,0.00,17.48,17.48,17.48
029,Bernardston,2015,18.58,0.00,18.58,18.58,18.58
029,Bernardston,2016,19.46,0.00,19.46,19.46,19.46
029,Bernardston,2017,19.78,0.00,19.78,19.78,19.78
030,Beverly,2003,11.61,11.61,20.70,20.70,20.70
030,Beverly,2004,10.92,10.92,20.74,20.74,20.74
030,Beverly,2005,10.04,10.04,18.95,18.95,18.95
030,Beverly,2006,9.88,9.88,18.61,18.61,18.61
030,Beverly,2007,10.14,10.14,18.64,18.64,18.64
030,Beverly,2008,10.40,10.40,18.47,18.47,18.47
030,Beverly,2009,10.86,10.86,19.41,19.41,19.41
030,Beverly,2010,11.63,11.63,20.58,20.58,20.58
030,Beverly,2011,12.41,12.41,22.59,22.59,22.59
030,Beverly,2012,12.97,12.97,23.59,23.59,23.59
030,Beverly,2013,13.64,13.64,24.86,24.86,24.86
030,Beverly,2014,14.16,14.16,25.78,25.78,25.78
030,Beverly,2015,14.11,14.11,25.70,25.70,25.70
030,Beverly,2016,14.39,14.39,26.41,26.41,26.41
030,Beverly,2017,14.28,14.28,26.83,26.83,26.83
031,Billerica,2003,11.06,0.00,25.13,25.13,25.13
031,Billerica,2004,10.92,0.00,24.42,24.42,24.42
031,Billerica,2005,11.00,0.00,23.90,23.90,23.90
031,Billerica,2006,10.61,0.00,23.57,23.57,23.57
031,Billerica,2007,10.80,0.00,24.17,24.17,24.17
031,Billerica,2008,11.02,0.00,24.75,24.75,24.75
031,Billerica,2009,11.55,0.00,26.22,26.22,26.22
031,Billerica,2010,12.53,0.00,28.47,28.47,28.47
031,Billerica,2011,13.47,0.00,30.75,30.75,30.75
031,Billerica,2012,13.92,0.00,31.93,31.93,31.93
031,Billerica,2013,14.31,0.00,32.89,32.89,32.89
031,Billerica,2014,14.29,0.00,33.16,33.16,33.16
031,Billerica,2015,14.04,0.00,32.67,32.67,32.67
031,Billerica,2016,14.14,0.00,33.22,33.22,33.22
031,Billerica,2017,14.09,0.00,33.44,33.44,33.44
032,Blackstone,2003,12.52,0.00,12.52,12.52,12.52
032,Blackstone,2004,11.21,0.00,11.21,11.21,11.21
032,Blackstone,2005,11.52,0.00,11.52,11.52,11.52
032,Blackstone,2006,10.76,0.00,10.76,10.76,10.76
032,Blackstone,2007,10.89,0.00,10.89,10.89,10.89
032,Blackstone,2008,11.40,0.00,11.40,11.40,11.40
