JURISDICTION_CODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
016,Attleboro,2008,"37,641,578",0,"5,910,779","3,544,414","1,599,650","48,696,421",77.30,22.70
017,Auburn,2003,"11,237,980","37,924","5,733,737","2,086,201","633,378","19,729,220",57.15,42.85
017,Auburn,2004,"13,301,024","36,964","5,302,076","2,159,815","694,190","21,494,069",62.05,37.95
017,Auburn,2005,"14,780,323","34,180","6,492,602","2,416,337","708,491","24,431,933",60.64,39.36
017,Auburn,2006,"14,959,438","40,023","7,205,359","2,629,696","837,565","25,672,081",58.43,41.57
017,Auburn,2007,"16,193,066",0,"8,024,726","3,011,542","811,386","28,040,720",57.75,42.25
017,Auburn,2008,"16,997,732",0,"8,193,700","3,068,781","1,068,896","29,329,109",57.96,42.04
018,Avon,2003,"3,468,686",0,"1,691,219","4,039,084","381,818","9,580,807",36.20,63.80
018,Avon,2004,"3,662,250",0,"1,753,201","4,299,802","584,439","10,299,692",35.56,64.44
018,Avon,2005,"4,121,918",0,"2,892,539","3,978,209","599,190","11,591,856",35.56,64.44
018,Avon,2006,"4,471,370",0,"3,021,670","4,036,110","610,639","12,139,789",36.83,63.17
018,Avon,2007,"4,813,168",0,"3,125,581","4,120,525","749,634","12,808,908",37.58,62.42
018,Avon,2008,"4,819,104",0,"3,330,432","4,453,114","907,921","13,510,571",35.67,64.33
019,Ayer,2003,"3,995,955",0,"1,498,916","2,716,336","2,778,531","10,989,738",36.36,63.64
019,Ayer,2004,"4,646,501",0,"1,801,715","3,012,310","2,877,994","12,338,520",37.66,62.34
019,Ayer,2005,"4,939,953",0,"1,861,457","3,022,616","2,596,613","12,420,639",39.77,60.23
019,Ayer,2006,"5,621,845",0,"2,153,505","3,299,788","2,664,960","13,740,098",40.92,59.08
019,Ayer,2007,"6,016,293",0,"2,146,592","3,194,980","2,549,126","13,906,991",43.26,56.74
019,Ayer,2008,"6,579,567",0,"2,232,932","3,435,719","2,396,819","14,645,037",44.93,55.07
020,Barnstable,2003,"61,071,003",0,"7,218,829","532,780","1,768,279","70,590,891",86.51,13.49
020,Barnstable,2004,"66,253,730",0,"6,392,738","500,285","1,419,282","74,566,035",88.85,11.15
020,Barnstable,2005,"68,856,452",0,"6,833,576","485,517","1,379,486","77,555,031",88.78,11.22
020,Barnstable,2006,"70,402,627",0,"7,976,300","504,130","1,592,704","80,475,761",87.48,12.52
020,Barnstable,2007,"74,852,367",0,"7,102,019","428,952","835,396","83,218,734",89.95,10.05
020,Barnstable,2008,"77,278,051",0,"7,461,638","424,939","876,263","86,040,891",89.82,10.18
021,Barre,2003,"3,542,650",0,"292,539","67,754","151,937","4,054,880",87.37,12.63
021,Barre,2004,"3,597,977",0,"259,378","59,828","117,189","4,034,372",89.18,10.82
021,Barre,2005,"4,160,512",0,"255,763","58,296","118,135","4,592,706",90.59,9.41
021,Barre,2006,"4,397,768",0,"273,873","60,072","113,288","4,845,001",90.77,9.23
021,Barre,2007,"4,435,798",0,"282,205","63,583","106,036","4,887,622",90.76,9.24
021,Barre,2008,"4,721,543",0,"291,294","64,238","104,346","5,181,421",91.12,8.88
022,Becket,2003,"2,658,537",0,"92,645","9,734","135,835","2,896,751",91.78,8.22
022,Becket,2004,"2,856,605",0,"91,819","9,667","143,158","3,101,249",92.11,7.89
022,Becket,2005,"3,061,014",0,"104,866","9,635","146,888","3,322,403",92.13,7.87
022,Becket,2006,"3,371,131",0,"160,034","9,721","129,347","3,670,233",91.85,8.15
022,Becket,2007,"3,555,724",0,"150,263","11,651","116,811","3,834,449",92.73,7.27
022,Becket,2008,"3,781,354",0,"148,017","11,363","120,798","4,061,532",93.10,6.90
023,Bedford,2003,"18,170,637","67,314","8,081,367","4,906,572","1,266,635","32,492,525",56.13,43.87
023,Bedford,2004,"19,954,890","65,644","8,477,917","5,332,108","1,736,685","35,567,244",56.29,43.71
023,Bedford,2005,"21,646,151","50,331","8,353,127","5,283,150","1,563,399","36,896,158",58.80,41.20
023,Bedford,2006,"23,624,817","46,283","8,596,026","4,983,949","1,648,243","38,899,318",60.85,39.15
023,Bedford,2007,"24,413,538","45,584","8,950,632","5,339,528","1,666,028","40,415,310",60.52,39.48
023,Bedford,2008,"25,174,779","45,233","10,208,123","5,699,408","1,528,291","42,655,834",59.12,40.88
024,Belchertown,2003,"12,894,765","8,003","472,744","134,602","301,667","13,811,781",93.42,6.58
024,Belchertown,2004,"14,031,706","8,674","557,115","141,947","298,103","15,037,545",93.37,6.63
024,Belchertown,2005,"14,689,045","3,351","606,218","138,189","270,007","15,706,810",93.54,6.46
024,Belchertown,2006,"15,773,889","3,545","644,720","141,238","249,742","16,813,134",93.84,6.16
024,Belchertown,2007,"16,514,140","5,059","709,673","147,025","244,068","17,619,965",93.75,6.25
024,Belchertown,2008,"17,465,853","4,692","800,582","153,124","257,369","18,681,620",93.52,6.48
025,Bellingham,2003,"11,911,271",0,"2,365,686","903,752","4,843,718","20,024,427",59.48,40.52
025,Bellingham,2004,"13,618,066",0,"2,416,436","954,861","5,432,054","22,421,417",60.74,39.26
025,Bellingham,2005,"14,590,630",0,"2,546,024","986,073","5,526,934","23,649,661",61.69,38.31
025,Bellingham,2006,"15,633,669",0,"2,704,734","1,119,675","5,261,940","24,720,018",63.24,36.76
025,Bellingham,2007,"16,772,621",0,"2,896,588","1,511,019","5,127,438","26,307,666",63.76,36.24
025,Bellingham,2008,"17,340,448",0,"3,404,783","1,715,044","4,550,932","27,011,207",64.20,35.80
026,Belmont,2003,"44,608,279",0,"2,183,562","158,380","213,567","47,163,788",94.58,5.42
026,Belmont,2004,"48,297,587",0,"2,366,124","161,753","222,234","51,047,698",94.61,5.39
026,Belmont,2005,"50,592,189",0,"2,351,588","161,494","205,254","53,310,525",94.90,5.10
026,Belmont,2006,"52,458,813",0,"2,392,037","157,576","212,034","55,220,460",95,5
026,Belmont,2007,"54,470,950",0,"2,621,335","158,393","231,258","57,481,936",94.76,5.24
026,Belmont,2008,"56,657,132",0,"2,836,330","171,935","281,741","59,947,138",94.51,5.49
027,Berkley,2003,"4,262,385",0,"130,242","51,783","57,665","4,502,075",94.68,5.32
027,Berkley,2004,"4,759,851",0,"181,573","28,445","62,241","5,032,110",94.59,5.41
027,Berkley,2005,"4,987,788",0,"177,877","22,856","80,919","5,269,440",94.65,5.35
027,Berkley,2006,"5,292,204",0,"182,954","24,797","68,923","5,568,878",95.03,4.97
027,Berkley,2007,"6,553,194",0,"141,370","31,910","83,255","6,809,729",96.23,3.77
027,Berkley,2008,"6,332,339",0,"135,713","32,316","79,104","6,579,472",96.24,3.76
028,Berlin,2003,"3,312,781",0,"1,226,796","70,168","106,157","4,715,902",70.25,29.75
028,Berlin,2004,"4,066,756",0,"1,297,567","86,413","102,774","5,553,510",73.23,26.77
028,Berlin,2005,"4,381,913",0,"1,269,059","77,307","112,680","5,840,959",75.02,24.98
028,Berlin,2006,"4,741,529",0,"1,242,446","108,402","123,777","6,216,154",76.28,23.72
028,Berlin,2007,"4,904,490",0,"1,294,730","106,076","90,553","6,395,849",76.68,23.32
028,Berlin,2008,"5,095,692",0,"1,363,199","109,229","110,746","6,678,866",76.30,23.70
029,Bernardston,2003,"1,799,418",0,"212,628","62,227","59,406","2,133,679",84.33,15.67
029,Bernardston,2004,"1,886,700",0,"172,383","56,294","58,718","2,174,095",86.78,13.22
029,Bernardston,2005,"2,215,917",0,"193,147","66,588","59,630","2,535,282",87.40,12.60
029,Bernardston,2006,"2,284,343",0,"184,633","61,347","47,189","2,577,512",88.63,11.37
029,Bernardston,2007,"2,659,757",0,"197,334","50,954","49,684","2,957,729",89.93,10.07
029,Bernardston,2008,"2,914,909",0,"212,554","54,901","57,779","3,240,143",89.96,10.04
030,Beverly,2003,"42,684,017","7,111","7,059,531","2,726,747","1,401,814","53,879,220",79.23,20.77
030,Beverly,2004,"44,402,077","7,239","7,618,614","2,720,600","1,466,367","56,214,897",79,21
030,Beverly,2005,"46,992,959","6,912","7,978,453","2,537,340","2,075,317","59,590,981",78.87,21.13
030,Beverly,2006,"49,203,468","7,105","8,045,574","2,711,256","2,166,381","62,133,784",79.20,20.80
030,Beverly,2007,"51,384,913","7,292","8,935,785","2,774,410","2,184,341","65,286,741",78.72,21.28
030,Beverly,2008,"53,316,134","7,647","9,384,727","2,842,740","2,303,862","67,855,110",78.58,21.42
031,Billerica,2003,"35,177,334",0,"5,631,070","20,676,728","2,401,707","63,886,839",55.06,44.94
031,Billerica,2004,"38,672,198",0,"5,672,885","20,215,201","3,848,431","68,408,715",56.53,43.47
031,Billerica,2005,"42,469,652",0,"5,512,643","20,214,787","2,926,720","71,123,802",59.71,40.29
031,Billerica,2006,"45,919,657",0,"6,068,619","20,044,351","2,739,817","74,772,444",61.41,38.59
031,Billerica,2007,"47,469,716",0,"6,367,442","20,790,605","3,723,507","78,351,270",60.59,39.41
031,Billerica,2008,"49,366,929",0,"6,808,332","21,871,884","3,962,940","82,010,085",60.20,39.80
032,Blackstone,2003,"6,231,552",0,"224,572","806,482","2,325,275","9,587,881",64.99,35.01
032,Blackstone,2004,"6,822,384",0,"241,921","477,283","2,758,440","10,300,028",66.24,33.76
032,Blackstone,2005,"7,582,162",0,"249,828","491,740","2,703,830","11,027,560",68.76,31.24
032,Blackstone,2006,"8,239,186",0,"257,844","447,912","2,617,357","11,562,299",71.26,28.74
032,Blackstone,2007,"9,317,202",0,"284,809","425,678","1,971,139","11,998,828",77.65,22.35
032,Blackstone,2008,"9,560,831",0,"299,839","445,608","2,064,321","12,370,599",77.29,22.71
033,Blandford,2003,"1,356,645",0,"63,792","3,268","125,302","1,549,007",87.58,12.42
033,Blandford,2004,"1,310,389",0,"67,734","2,868","127,004","1,507,995",86.90,13.10
033,Blandford,2005,"1,221,576",0,"70,347","2,756","115,741","1,410,420",86.61,13.39
033,Blandford,2006,"1,303,606",0,"62,183","3,125","95,962","1,464,876",88.99,11.01
033,Blandford,2007,"1,369,935",0,"63,048","3,390","108,862","1,545,235",88.66,11.34
033,Blandford,2008,"1,530,397",0,"64,661","3,582","122,383","1,721,023",88.92,11.08
034,Bolton,2003,"9,300,864",0,"817,127","60,802","138,599","10,317,392",90.15,9.85
034,Bolton,2004,"9,838,791",0,"875,021","64,373","262,825","11,041,010",89.11,10.89
034,Bolton,2005,"10,736,180",0,"963,060","68,355","484,749","12,252,344",87.63,12.37
034,Bolton,2006,"11,586,806",0,"772,655","208,957","467,869","13,036,287",88.88,11.12
034,Bolton,2007,"12,469,795",0,"745,500","212,541","457,999","13,885,835",89.80,10.20
034,Bolton,2008,"13,193,540",0,"667,377","227,974","499,828","14,588,719",90.44,9.56
035,Boston,2003,"330,356,225",0,"586,974,803","18,979,963","98,959,820","1,035,270,811",31.91,68.09
035,Boston,2004,"371,868,680",0,"587,557,871","21,244,004","113,266,072","1,093,936,627",33.99,66.01
035,Boston,2005,"415,504,174",0,"609,915,943","20,926,631","102,395,159","1,148,741,907",36.17,63.83
035,Boston,2006,"469,312,663",0,"615,286,681","20,866,180","102,154,332","1,207,619,856",38.86,61.14
035,Boston,2007,"538,787,733",0,"616,323,611","20,683,022","94,465,473","1,270,259,839",42.42,57.58
035,Boston,2008,"539,055,047",0,"674,218,593","22,703,162","98,301,568","1,334,278,370",40.40,59.60
036,Bourne,2003,"20,962,842","6,497","2,120,206","165,818","522,005","23,777,368",88.19,11.81
036,Bourne,2004,"22,353,008","3,352","2,103,641","169,383","539,855","25,169,239",88.82,11.18
036,Bourne,2005,"23,902,085","4,077","2,138,840","180,110","535,508","26,760,620",89.33,10.67
036,Bourne,2006,"26,476,081","1,824","2,310,694","202,870","456,703","29,448,172",89.91,10.09
036,Bourne,2007,"27,597,751","2,000","2,419,119","219,013","466,924","30,704,807",89.89,10.11
036,Bourne,2008,"28,625,919","2,067","2,524,024","216,887","532,854","31,901,751",89.74,10.26
037,Boxborough,2003,"8,391,192",0,"967,969","1,511,190","94,248","10,964,599",76.53,23.47
037,Boxborough,2004,"8,903,872",0,"1,084,693","1,648,147","114,257","11,750,969",75.77,24.23
037,Boxborough,2005,"9,283,794",0,"1,058,867","1,687,486","116,146","12,146,293",76.43,23.57
037,Boxborough,2006,"10,355,081",0,"1,123,763","1,890,279","132,984","13,502,107",76.69,23.31
037,Boxborough,2007,"11,045,926",0,"1,119,272","1,955,859","138,623","14,259,680",77.46,22.54
037,Boxborough,2008,"11,472,457",0,"1,203,039","1,995,432","207,119","14,878,047",77.11,22.89
038,Boxford,2003,"15,865,276","28,463","156,726","6,913","182,317","16,239,695",97.87,2.13
038,Boxford,2004,"16,946,752","26,134","146,457","7,020","212,964","17,339,327",97.89,2.11
038,Boxford,2005,"17,301,672","24,941","135,391","6,824","337,957","17,806,785",97.30,2.70
038,Boxford,2006,"18,597,296",0,"145,440","6,267","322,145","19,071,148",97.52,2.48
038,Boxford,2007,"19,156,970",0,"140,632","6,391","357,044","19,661,037",97.44,2.56
038,Boxford,2008,"20,144,742",0,"147,461","6,899","398,466","20,697,568",97.33,2.67
039,Boylston,2003,"5,357,400","4,697","374,225","176,749","84,669","5,997,740",89.40,10.60
039,Boylston,2004,"5,603,297","5,466","361,886","178,027","111,198","6,259,874",89.60,10.40
039,Boylston,2005,"6,661,695","8,296","388,759","192,912","91,301","7,342,963",90.84,9.16
039,Boylston,2006,"6,976,520","8,331","395,269","193,950","97,308","7,671,378",91.05,8.95
039,Boylston,2007,"7,366,778","8,032","406,433","205,454","83,786","8,070,483",91.38,8.62
039,Boylston,2008,"7,595,265",0,"419,712","216,711","108,698","8,340,386",91.07,8.93
040,Braintree,2003,"31,228,155",0,"15,003,512","3,142,530","848,498","50,222,695",62.18,37.82
040,Braintree,2004,"30,891,770",0,"16,734,419","3,450,482","1,056,237","52,132,908",59.26,40.74
040,Braintree,2005,"31,984,202",0,"17,067,359","3,643,570","1,252,169","53,947,300",59.29,40.71
040,Braintree,2006,"33,646,738",0,"17,458,711","3,692,078","1,208,921","56,006,448",60.08,39.92
040,Braintree,2007,"36,149,286",0,"17,093,880","3,618,359","1,250,087","58,111,612",62.21,37.79
040,Braintree,2008,"38,458,704",0,"17,143,603","3,602,627","1,332,431","60,537,365",63.53,36.47
041,Brewster,2003,"16,399,942",0,"902,534","42,105","337,321","17,681,902",92.75,7.25
041,Brewster,2004,"17,586,753",0,"893,937","71,920","346,198","18,898,808",93.06,6.94
041,Brewster,2005,"18,342,543",0,"771,574","63,168","335,964","19,513,249",94,6
041,Brewster,2006,"19,228,979",0,"790,779","45,505","314,257","20,379,520",94.35,5.65
041,Brewster,2007,"20,039,916",0,"853,528","50,948","175,379","21,119,771",94.89,5.11
041,Brewster,2008,"20,308,984",0,"886,856","52,123","169,443","21,417,406",94.82,5.18
042,Bridgewater,2003,"18,897,491",0,"1,123,998","479,032","443,111","20,943,632",90.23,9.77
042,Bridgewater,2004,"19,739,113",0,"1,201,265","492,746","485,737","21,918,861",90.06,9.94
042,Bridgewater,2005,"21,043,160",0,"1,071,716","436,062","424,067","22,975,005",91.59,8.41
042,Bridgewater,2006,"22,486,576",0,"1,288,859","575,243","477,900","24,828,578",90.57,9.43
042,Bridgewater,2007,"24,100,731",0,"1,376,863","630,074","472,605","26,580,273",90.67,9.33
042,Bridgewater,2008,"25,264,561",0,"1,506,421","668,408","547,934","27,987,324",90.27,9.73
043,Brimfield,2003,"3,558,043",0,"322,594","59,775","129,726","4,070,138",87.42,12.58
043,Brimfield,2004,"3,873,934",0,"322,033","63,292","168,960","4,428,219",87.48,12.52
043,Brimfield,2005,"4,175,124",0,"308,602","61,276","124,425","4,669,427",89.41,10.59
043,Brimfield,2006,"4,402,248",0,"288,601","57,120","117,040","4,865,009",90.49,9.51
043,Brimfield,2007,"4,390,898",0,"280,869","55,680","110,881","4,838,328",90.75,9.25
043,Brimfield,2008,"4,604,585",0,"298,317","54,775","120,748","5,078,425",90.67,9.33
044,Brockton,2003,"51,091,263",0,"17,416,436","4,305,804","3,033,665","75,847,168",67.36,32.64
044,Brockton,2004,"55,385,231",0,"16,331,614","4,002,910","2,829,440","78,549,195",70.51,29.49
044,Brockton,2005,"58,961,276",0,"17,175,617","4,129,196","2,817,343","83,083,432",70.97,29.03
044,Brockton,2006,"61,568,628",0,"17,876,559","4,317,553","2,438,134","86,200,874",71.42,28.58
044,Brockton,2007,"64,691,811",0,"17,979,032","4,206,207","2,592,948","89,469,998",72.31,27.69
044,Brockton,2008,"64,045,448",0,"21,172,557","4,757,394","2,796,887","92,772,286",69.04,30.96
045,Brookfield,2003,"2,636,965",0,"158,492","15,755","85,420","2,896,632",91.04,8.96
045,Brookfield,2004,"2,827,664",0,"129,880","15,492","72,260","3,045,296",92.85,7.15
045,Brookfield,2005,"3,091,868",0,"134,330","17,283","75,573","3,319,054",93.16,6.84
045,Brookfield,2006,"3,282,585",0,"136,510","19,938","63,094","3,502,127",93.73,6.27
045,Brookfield,2007,"3,429,733",0,"133,119","22,190","55,588","3,640,630",94.21,5.79
045,Brookfield,2008,"3,698,305",0,"136,438","24,115","66,384","3,925,242",94.22,5.78
046,Brookline,2003,"92,077,267",0,"15,148,189","213,670","2,092,933","109,532,059",84.06,15.94
046,Brookline,2004,"96,785,156",0,"15,561,395","212,125","2,101,807","114,660,483",84.41,15.59
046,Brookline,2005,"101,040,049",0,"16,586,324","226,436","1,999,395","119,852,204",84.30,15.70
046,Brookline,2006,"105,772,647",0,"17,308,643","178,464","1,755,085","125,014,839",84.61,15.39
046,Brookline,2007,"109,748,548",0,"18,245,847","184,251","1,897,888","130,076,534",84.37,15.63
046,Brookline,2008,"113,856,223",0,"19,621,824","195,338","2,138,515","135,811,900",83.83,16.17
047,Buckland,2003,"1,634,554",0,"97,623","190,463","134,696","2,057,336",79.45,20.55
047,Buckland,2004,"1,659,876",0,"100,520","196,189","126,874","2,083,459",79.67,20.33
047,Buckland,2005,"1,797,509",0,"101,986","194,231","125,622","2,219,348",80.99,19.01
047,Buckland,2006,"2,049,464",0,"100,552","210,709","127,929","2,488,654",82.35,17.65
047,Buckland,2007,"2,191,151",0,"105,824","353,574","56,387","2,706,936",80.95,19.05
047,Buckland,2008,"2,272,563",0,"108,687","359,508","62,208","2,802,966",81.08,18.92
048,Burlington,2003,"18,750,636",0,"27,341,563","4,219,228","2,865,920","53,177,347",35.26,64.74
048,Burlington,2004,"20,291,979",0,"26,130,972","6,028,230","3,716,788","56,167,969",36.13,63.87
